B2,n_donated,n_people,total_donation,max_donation,avg_donation,has_donation,donation_rate
20180527-123001_539_live,0,2,0.0,0.0,0.0,0,0.0
20180527-210026_713_live,0,2,0.0,0.0,0.0,0,0.0
20180528-051652_449_live,0,2,0.0,0.0,0.0,0,0.0
20180717-200206_41_live,2,2,1.0,0.5,0.5,1,100.0
20180719-120436_413_live,0,2,0.0,0.0,0.0,0,0.0
20180719-122534_38_live,1,2,0.5,0.5,0.25,1,50.0
20180719-165941_192_live,0,2,0.0,0.0,0.0,0,0.0
20180719-175233_833_live,1,2,0.05,0.05,0.025,1,50.0
20180719-181845_211_live,0,2,0.0,0.0,0.0,0,0.0
20180719-182453_233_live,0,2,0.0,0.0,0.0,0,0.0
20180719-200311_664_live,1,2,0.5,0.5,0.25,1,50.0
20180719-202443_897_live,1,2,1.0,1.0,0.5,1,50.0
20180719-204358_391_live,0,2,0.0,0.0,0.0,0,0.0
20180719-210146_172_live,1,2,0.25,0.25,0.125,1,50.0
20180719-210149_80_live,0,2,0.0,0.0,0.0,0,0.0
20180719-211253_768_live,1,2,0.5,0.5,0.25,1,50.0
20180719-211301_463_live,0,2,0.0,0.0,0.0,0,0.0
20180719-211846_176_live,0,2,0.0,0.0,0.0,0,0.0
20180719-212219_934_live,1,2,0.5,0.5,0.25,1,50.0
20180719-213345_510_live,0,2,0.0,0.0,0.0,0,0.0
20180723-025150_733_live,2,2,0.4,0.2,0.2,1,100.0
20180723-031022_254_live,1,2,1.0,1.0,0.5,1,50.0
20180723-034109_263_live,1,2,1.0,1.0,0.5,1,50.0
20180723-034654_121_live,0,2,0.0,0.0,0.0,0,0.0
20180723-040634_575_live,1,2,1.25,1.25,0.625,1,50.0
20180723-041117_988_live,2,2,0.6,0.5,0.3,1,100.0
20180723-042226_724_live,1,2,0.5,0.5,0.25,1,50.0
20180723-042342_809_live,0,2,0.0,0.0,0.0,0,0.0
20180723-042344_940_live,0,2,0.0,0.0,0.0,0,0.0
20180723-042421_113_live,1,2,0.5,0.5,0.25,1,50.0
20180723-044617_32_live,1,2,0.5,0.5,0.25,1,50.0
20180723-052203_936_live,1,2,0.5,0.5,0.25,1,50.0
20180723-055038_776_live,1,2,0.5,0.5,0.25,1,50.0
20180723-060959_447_live,0,2,0.0,0.0,0.0,0,0.0
20180723-061928_535_live,1,2,100.0,100.0,50.0,1,50.0
20180723-062856_180_live,1,2,0.1,0.1,0.05,1,50.0
20180723-064603_378_live,0,2,0.0,0.0,0.0,0,0.0
20180723-064816_188_live,1,2,0.25,0.25,0.125,1,50.0
20180723-070336_48_live,0,2,0.0,0.0,0.0,0,0.0
20180723-072435_196_live,1,2,0.01,0.01,0.005,1,50.0
20180723-073352_280_live,1,2,0.05,0.05,0.025,1,50.0
20180723-073908_711_live,1,2,0.5,0.5,0.25,1,50.0
20180723-074147_879_live,0,2,0.0,0.0,0.0,0,0.0
20180723-075339_567_live,0,2,0.0,0.0,0.0,0,0.0
20180723-080158_200_live,0,2,0.0,0.0,0.0,0,0.0
20180723-080248_452_live,1,2,0.01,0.01,0.005,1,50.0
20180723-082451_335_live,0,2,0.0,0.0,0.0,0,0.0
20180723-085449_363_live,1,2,700.0,700.0,350.0,1,50.0
20180723-091102_738_live,0,2,0.0,0.0,0.0,0,0.0
20180723-091419_371_live,1,2,0.25,0.25,0.125,1,50.0
20180723-091508_49_live,0,2,0.0,0.0,0.0,0,0.0
20180723-093434_153_live,0,2,0.0,0.0,0.0,0,0.0
20180723-093509_578_live,2,2,2.0,1.0,1.0,1,100.0
20180723-094026_937_live,1,2,1.0,1.0,0.5,1,50.0
20180723-094242_630_live,1,2,1.0,1.0,0.5,1,50.0
20180723-100140_767_live,0,2,0.0,0.0,0.0,0,0.0
20180723-100855_385_live,0,2,0.0,0.0,0.0,0,0.0
20180723-101530_805_live,1,2,0.5,0.5,0.25,1,50.0
20180723-103902_895_live,1,2,0.25,0.25,0.125,1,50.0
20180723-105210_403_live,0,2,0.0,0.0,0.0,0,0.0
20180723-112016_503_live,1,2,0.01,0.01,0.005,1,50.0
20180723-113128_856_live,1,2,2.0,2.0,1.0,1,50.0
20180723-113700_19_live,2,2,2.0,1.0,1.0,1,100.0
20180723-114415_254_live,1,2,0.1,0.1,0.05,1,50.0
20180723-120745_544_live,0,2,0.0,0.0,0.0,0,0.0
20180723-120746_371_live,1,2,10.0,10.0,5.0,1,50.0
20180723-121545_265_live,1,2,0.25,0.25,0.125,1,50.0
20180723-122005_335_live,0,2,0.0,0.0,0.0,0,0.0
20180807-012950_732_live,0,2,0.0,0.0,0.0,0,0.0
20180807-032253_379_live,1,2,0.5,0.5,0.25,1,50.0
20180807-033103_193_live,2,2,200.0,100.0,100.0,1,100.0
20180807-033356_731_live,1,2,10.0,10.0,5.0,1,50.0
20180807-034050_594_live,2,2,10.5,10.0,5.25,1,100.0
20180807-034917_827_live,0,2,0.0,0.0,0.0,0,0.0
20180807-035644_415_live,2,2,100.2,100.0,50.1,1,100.0
20180807-045213_750_live,1,2,1.0,1.0,0.5,1,50.0
20180807-045406_433_live,0,2,0.0,0.0,0.0,0,0.0
20180807-052301_924_live,1,2,2.0,2.0,1.0,1,50.0
20180807-052510_771_live,1,2,500.0,500.0,250.0,1,50.0
20180807-052536_131_live,0,2,0.0,0.0,0.0,0,0.0
20180807-054926_223_live,0,2,0.0,0.0,0.0,0,0.0
20180807-060826_638_live,0,2,0.0,0.0,0.0,0,0.0
20180807-070049_381_live,1,2,0.1,0.1,0.05,1,50.0
20180807-070744_909_live,1,2,1.0,1.0,0.5,1,50.0
20180807-081912_387_live,0,2,0.0,0.0,0.0,0,0.0
20180807-094907_712_live,0,2,0.0,0.0,0.0,0,0.0
20180807-101812_237_live,2,2,2.0,1.0,1.0,1,100.0
20180807-103432_350_live,0,2,0.0,0.0,0.0,0,0.0
20180807-110023_918_live,1,2,0.01,0.01,0.005,1,50.0
20180807-114219_318_live,1,2,1.0,1.0,0.5,1,50.0
20180807-114503_772_live,0,2,0.0,0.0,0.0,0,0.0
20180807-114750_102_live,0,2,0.0,0.0,0.0,0,0.0
20180807-120710_327_live,1,2,0.25,0.25,0.125,1,50.0
20180807-120949_23_live,1,2,0.75,0.75,0.375,1,50.0
20180807-193534_716_live,2,2,1.0,0.5,0.5,1,100.0
20180807-200337_482_live,0,2,0.0,0.0,0.0,0,0.0
20180807-203024_672_live,2,2,1.5,1.0,0.75,1,100.0
20180807-204441_24_live,2,2,1.5,1.0,0.75,1,100.0
20180807-210436_738_live,0,2,0.0,0.0,0.0,0,0.0
20180807-210743_128_live,0,2,0.0,0.0,0.0,0,0.0
20180807-212225_748_live,2,2,2.25,2.0,1.125,1,100.0
20180807-213738_534_live,1,2,0.1,0.1,0.05,1,50.0
20180807-224801_326_live,2,2,2.3,2.0,1.15,1,100.0
20180807-230112_344_live,0,2,0.0,0.0,0.0,0,0.0
20180807-232845_932_live,0,2,0.0,0.0,0.0,0,0.0
20180808-001810_178_live,1,2,0.05,0.05,0.025,1,50.0
20180808-004203_194_live,0,2,0.0,0.0,0.0,0,0.0
20180808-005248_38_live,0,2,0.0,0.0,0.0,0,0.0
20180808-011341_389_live,2,2,0.6,0.5,0.3,1,100.0
20180808-011921_673_live,2,2,1.5,1.0,0.75,1,100.0
20180808-013755_350_live,1,2,2.0,2.0,1.0,1,50.0
20180808-015530_429_live,2,2,0.65,0.6,0.325,1,100.0
20180808-015735_783_live,1,2,2.0,2.0,1.0,1,50.0
20180808-020257_457_live,2,2,1.5,1.0,0.75,1,100.0
20180808-021732_428_live,0,2,0.0,0.0,0.0,0,0.0
20180808-022005_838_live,1,2,0.05,0.05,0.025,1,50.0
20180808-022730_384_live,0,2,0.0,0.0,0.0,0,0.0
20180808-024552_152_live,0,2,0.0,0.0,0.0,0,0.0
20180808-030338_328_live,0,2,0.0,0.0,0.0,0,0.0
20180808-030454_242_live,2,2,0.75,0.5,0.375,1,100.0
20180808-032041_562_live,1,2,0.05,0.05,0.025,1,50.0
20180808-032124_114_live,0,2,0.0,0.0,0.0,0,0.0
20180808-032354_369_live,0,2,0.0,0.0,0.0,0,0.0
20180808-032545_201_live,0,2,0.0,0.0,0.0,0,0.0
20180808-033451_555_live,1,2,0.5,0.5,0.25,1,50.0
20180808-034352_717_live,1,2,0.1,0.1,0.05,1,50.0
20180808-034448_815_live,0,2,0.0,0.0,0.0,0,0.0
20180808-035431_488_live,2,2,0.6,0.5,0.3,1,100.0
20180808-035715_390_live,0,2,0.0,0.0,0.0,0,0.0
20180808-040435_931_live,0,2,0.0,0.0,0.0,0,0.0
20180808-042339_620_live,0,2,0.0,0.0,0.0,0,0.0
20180808-043445_804_live,2,2,1.0,0.5,0.5,1,100.0
20180808-045404_162_live,0,2,0.0,0.0,0.0,0,0.0
20180808-050533_601_live,0,2,0.0,0.0,0.0,0,0.0
20180808-052501_689_live,1,2,10.0,10.0,5.0,1,50.0
20180808-061420_905_live,1,2,0.1,0.1,0.05,1,50.0
20180808-062753_12_live,0,2,0.0,0.0,0.0,0,0.0
20180808-063034_444_live,0,2,0.0,0.0,0.0,0,0.0
20180808-064212_144_live,1,2,0.5,0.5,0.25,1,50.0
20180808-064649_236_live,0,2,0.0,0.0,0.0,0,0.0
20180808-065307_529_live,0,2,0.0,0.0,0.0,0,0.0
20180808-070517_921_live,2,2,3.0,2.0,1.5,1,100.0
20180808-073516_16_live,0,2,0.0,0.0,0.0,0,0.0
20180808-073746_228_live,1,2,0.5,0.5,0.25,1,50.0
20180808-074917_388_live,1,2,0.1,0.1,0.05,1,50.0
20180808-075748_956_live,0,2,0.0,0.0,0.0,0,0.0
20180808-075816_12_live,1,2,0.1,0.1,0.05,1,50.0
20180808-081317_142_live,0,2,0.0,0.0,0.0,0,0.0
20180823-020508_596_live,0,2,0.0,0.0,0.0,0,0.0
20180823-020542_443_live,0,2,0.0,0.0,0.0,0,0.0
20180823-021414_711_live,1,2,0.2,0.2,0.1,1,50.0
20180823-021454_370_live,1,2,0.1,0.1,0.05,1,50.0
20180823-022522_183_live,1,2,0.3,0.3,0.15,1,50.0
20180823-023349_326_live,2,2,0.4,0.2,0.2,1,100.0
20180824-015242_301_live,0,2,0.0,0.0,0.0,0,0.0
20180824-015542_821_live,0,2,0.0,0.0,0.0,0,0.0
20180824-020237_732_live,0,2,0.0,0.0,0.0,0,0.0
20180824-020419_695_live,2,2,1.85,1.0,0.925,1,100.0
20180824-022557_24_live,0,2,0.0,0.0,0.0,0,0.0
20180824-022709_450_live,0,2,0.0,0.0,0.0,0,0.0
20180824-023730_85_live,0,2,0.0,0.0,0.0,0,0.0
20180824-024455_408_live,1,2,50.0,50.0,25.0,1,50.0
20180824-025834_522_live,1,2,1.0,1.0,0.5,1,50.0
20180824-031232_169_live,2,2,0.12000000000000001,0.1,0.060000000000000005,1,100.0
20180824-120314_637_live,2,2,0.35,0.2,0.175,1,100.0
20180824-120504_474_live,0,2,0.0,0.0,0.0,0,0.0
20180824-121026_498_live,0,2,0.0,0.0,0.0,0,0.0
20180824-121207_770_live,0,2,0.0,0.0,0.0,0,0.0
20180824-121457_149_live,0,2,0.0,0.0,0.0,0,0.0
20180824-121720_619_live,2,2,0.3,0.15,0.15,1,100.0
20180824-121933_745_live,1,2,0.05,0.05,0.025,1,50.0
20180824-121958_772_live,1,2,0.3,0.3,0.15,1,50.0
20180824-122020_491_live,2,2,0.3,0.15,0.15,1,100.0
20180824-122128_891_live,0,2,0.0,0.0,0.0,0,0.0
20180824-122144_159_live,2,2,1.5,1.0,0.75,1,100.0
20180824-122300_862_live,0,2,0.0,0.0,0.0,0,0.0
20180824-122416_255_live,2,2,0.5,0.25,0.25,1,100.0
20180824-122513_936_live,2,2,0.21000000000000002,0.2,0.10500000000000001,1,100.0
20180824-122531_924_live,1,2,0.25,0.25,0.125,1,50.0
20180824-122741_281_live,1,2,0.5,0.5,0.25,1,50.0
20180824-122747_679_live,0,2,0.0,0.0,0.0,0,0.0
20180824-122919_69_live,1,2,0.3,0.3,0.15,1,50.0
20180824-123012_292_live,1,2,0.8,0.8,0.4,1,50.0
20180824-123136_997_live,1,2,0.15,0.15,0.075,1,50.0
20180824-123946_581_live,2,2,1.0,0.5,0.5,1,100.0
20180824-124214_397_live,2,2,40.0,30.0,20.0,1,100.0
20180824-124301_523_live,0,2,0.0,0.0,0.0,0,0.0
20180824-125336_572_live,2,2,0.59,0.3,0.295,1,100.0
20180824-130121_505_live,2,2,0.75,0.5,0.375,1,100.0
20180824-130122_363_live,0,2,0.0,0.0,0.0,0,0.0
20180824-130244_446_live,1,2,0.2,0.2,0.1,1,50.0
20180824-130402_610_live,2,2,0.35,0.25,0.175,1,100.0
20180824-130913_64_live,1,2,0.5,0.5,0.25,1,50.0
20180824-131145_239_live,2,2,5.15,5.0,2.575,1,100.0
20180824-131621_775_live,0,2,0.0,0.0,0.0,0,0.0
20180825-042845_49_live,2,2,0.6,0.3,0.3,1,100.0
20180825-043229_970_live,1,2,0.05,0.05,0.025,1,50.0
20180825-043341_782_live,1,2,0.1,0.1,0.05,1,50.0
20180825-043516_619_live,0,2,0.0,0.0,0.0,0,0.0
20180825-044048_639_live,1,2,0.05,0.05,0.025,1,50.0
20180825-044252_786_live,1,2,0.05,0.05,0.025,1,50.0
20180825-044358_663_live,1,2,0.13,0.13,0.065,1,50.0
20180825-044613_233_live,2,2,1.0,0.5,0.5,1,100.0
20180825-045559_409_live,0,2,0.0,0.0,0.0,0,0.0
20180825-050306_247_live,1,2,0.5,0.5,0.25,1,50.0
20180825-051212_932_live,2,2,7.3,7.0,3.65,1,100.0
20180825-051455_889_live,1,2,100.0,100.0,50.0,1,50.0
20180825-051852_679_live,0,2,0.0,0.0,0.0,0,0.0
20180825-051947_478_live,1,2,100.0,100.0,50.0,1,50.0
20180825-052611_640_live,0,2,0.0,0.0,0.0,0,0.0
20180825-053544_897_live,1,2,0.3,0.3,0.15,1,50.0
20180825-053711_81_live,1,2,1.0,1.0,0.5,1,50.0
20180825-054948_621_live,1,2,0.3,0.3,0.15,1,50.0
20180825-055034_34_live,0,2,0.0,0.0,0.0,0,0.0
20180825-055321_232_live,2,2,0.2,0.1,0.1,1,100.0
20180825-055427_625_live,1,2,0.3,0.3,0.15,1,50.0
20180825-060055_854_live,2,2,15.2,15.0,7.6,1,100.0
20180825-060212_445_live,2,2,0.6,0.5,0.3,1,100.0
20180825-060251_387_live,1,2,0.15,0.15,0.075,1,50.0
20180825-060648_863_live,1,2,2.0,2.0,1.0,1,50.0
20180825-061105_792_live,1,2,0.15,0.15,0.075,1,50.0
20180825-062128_451_live,1,2,0.5,0.5,0.25,1,50.0
20180825-062219_874_live,0,2,0.0,0.0,0.0,0,0.0
20180825-063009_943_live,1,2,0.3,0.3,0.15,1,50.0
20180825-063117_677_live,1,2,0.2,0.2,0.1,1,50.0
20180825-063753_619_live,2,2,0.2,0.1,0.1,1,100.0
20180825-064001_264_live,2,2,0.4,0.2,0.2,1,100.0
20180825-064038_102_live,0,2,0.0,0.0,0.0,0,0.0
20180825-064811_939_live,2,2,0.25,0.2,0.125,1,100.0
20180825-064838_945_live,0,2,0.0,0.0,0.0,0,0.0
20180825-065106_23_live,1,2,0.1,0.1,0.05,1,50.0
20180825-065411_526_live,2,2,0.2,0.1,0.1,1,100.0
20180825-070515_947_live,2,2,0.3,0.25,0.15,1,100.0
20180825-070857_925_live,0,2,0.0,0.0,0.0,0,0.0
20180825-070900_49_live,2,2,0.5,0.25,0.25,1,100.0
20180825-071316_761_live,1,2,0.1,0.1,0.05,1,50.0
20180825-071459_643_live,1,2,0.15,0.15,0.075,1,50.0
20180825-071727_819_live,2,2,0.3,0.15,0.15,1,100.0
20180825-071757_571_live,2,2,10.15,10.0,5.075,1,100.0
20180825-073030_73_live,2,2,0.3,0.25,0.15,1,100.0
20180825-073559_995_live,1,2,0.3,0.3,0.15,1,50.0
20180825-073629_433_live,1,2,0.1,0.1,0.05,1,50.0
20180825-073809_134_live,0,2,0.0,0.0,0.0,0,0.0
20180825-073813_141_live,0,2,0.0,0.0,0.0,0,0.0
20180825-074318_984_live,1,2,0.3,0.3,0.15,1,50.0
20180825-075451_984_live,2,2,0.2,0.1,0.1,1,100.0
20180825-075611_866_live,1,2,0.05,0.05,0.025,1,50.0
20180825-075627_48_live,0,2,0.0,0.0,0.0,0,0.0
20180825-075630_493_live,2,2,1.05,1.0,0.525,1,100.0
20180825-075647_663_live,1,2,0.01,0.01,0.005,1,50.0
20180825-075658_709_live,0,2,0.0,0.0,0.0,0,0.0
20180825-075835_273_live,0,2,0.0,0.0,0.0,0,0.0
20180825-075844_569_live,2,2,0.5,0.25,0.25,1,100.0
20180825-075913_208_live,0,2,0.0,0.0,0.0,0,0.0
20180825-080131_220_live,1,2,0.15,0.15,0.075,1,50.0
20180825-080436_824_live,2,2,20.0,10.0,10.0,1,100.0
20180825-080452_233_live,1,2,0.1,0.1,0.05,1,50.0
20180825-080802_964_live,2,2,1.15,1.0,0.575,1,100.0
20180825-081402_621_live,1,2,0.3,0.3,0.15,1,50.0
20180825-081502_364_live,1,2,0.05,0.05,0.025,1,50.0
20180825-081646_781_live,1,2,9.0,9.0,4.5,1,50.0
20180825-081859_875_live,2,2,0.11,0.1,0.055,1,100.0
20180825-082635_438_live,1,2,0.15,0.15,0.075,1,50.0
20180825-083430_379_live,0,2,0.0,0.0,0.0,0,0.0
20180825-083745_516_live,1,2,0.15,0.15,0.075,1,50.0
20180825-084254_215_live,2,2,2.0,1.0,1.0,1,100.0
20180825-084657_775_live,1,2,0.5,0.5,0.25,1,50.0
20180825-085214_779_live,0,2,0.0,0.0,0.0,0,0.0
20180825-085709_930_live,2,2,0.30000000000000004,0.2,0.15000000000000002,1,100.0
20180825-085908_923_live,1,2,0.15,0.15,0.075,1,50.0
20180825-090032_956_live,0,2,0.0,0.0,0.0,0,0.0
20180825-090251_7_live,1,2,0.1,0.1,0.05,1,50.0
20180825-090446_585_live,0,2,0.0,0.0,0.0,0,0.0
20180825-091558_618_live,0,2,0.0,0.0,0.0,0,0.0
20180825-092012_333_live,0,2,0.0,0.0,0.0,0,0.0
20180825-093236_414_live,1,2,0.1,0.1,0.05,1,50.0
20180825-094831_466_live,1,2,0.01,0.01,0.005,1,50.0
20180825-100043_534_live,2,2,0.35,0.25,0.175,1,100.0
20180825-102556_172_live,2,2,2.0,1.0,1.0,1,100.0
20180825-111850_152_live,0,2,0.0,0.0,0.0,0,0.0
20180825-112434_860_live,1,2,0.1,0.1,0.05,1,50.0
20180825-112615_516_live,0,2,0.0,0.0,0.0,0,0.0
20180825-125810_869_live,1,2,0.05,0.05,0.025,1,50.0
20180825-143255_249_live,1,2,0.05,0.05,0.025,1,50.0
20180825-210735_192_live,1,2,0.1,0.1,0.05,1,50.0
20180826-011431_343_live,0,2,0.0,0.0,0.0,0,0.0
20180826-013036_595_live,0,2,0.0,0.0,0.0,0,0.0
20180826-013529_897_live,1,2,5.0,5.0,2.5,1,50.0
20180826-013831_953_live,2,2,2.0,1.0,1.0,1,100.0
20180826-020520_686_live,0,2,0.0,0.0,0.0,0,0.0
20180826-021724_326_live,2,2,2.0,1.0,1.0,1,100.0
20180826-023807_40_live,1,2,0.25,0.25,0.125,1,50.0
20180826-033211_245_live,1,2,0.05,0.05,0.025,1,50.0
20180826-040651_411_live,1,2,0.01,0.01,0.005,1,50.0
20180826-043247_456_live,0,2,0.0,0.0,0.0,0,0.0
20180826-044626_167_live,0,2,0.0,0.0,0.0,0,0.0
20180826-045748_926_live,1,2,0.1,0.1,0.05,1,50.0
20180826-052222_969_live,1,2,0.3,0.3,0.15,1,50.0
20180826-053811_708_live,1,2,0.2,0.2,0.1,1,50.0
20180826-053845_531_live,2,2,0.8,0.5,0.4,1,100.0
20180826-053925_84_live,0,2,0.0,0.0,0.0,0,0.0
20180826-054028_444_live,2,2,1.1,1.0,0.55,1,100.0
20180826-054232_684_live,1,2,0.2,0.2,0.1,1,50.0
20180826-054344_65_live,1,2,1.0,1.0,0.5,1,50.0
20180826-055352_947_live,1,2,0.15,0.15,0.075,1,50.0
20180826-060146_791_live,0,2,0.0,0.0,0.0,0,0.0
20180826-060201_521_live,1,2,0.1,0.1,0.05,1,50.0
20180826-061500_476_live,1,2,0.5,0.5,0.25,1,50.0
20180826-061846_932_live,2,2,10.3,10.0,5.15,1,100.0
20180826-061949_863_live,1,2,0.2,0.2,0.1,1,50.0
20180826-062039_2_live,0,2,0.0,0.0,0.0,0,0.0
20180826-062356_655_live,1,2,0.1,0.1,0.05,1,50.0
20180826-062736_188_live,0,2,0.0,0.0,0.0,0,0.0
20180826-062755_702_live,2,2,0.1,0.05,0.05,1,100.0
20180826-063853_537_live,1,2,0.05,0.05,0.025,1,50.0
20180826-064104_677_live,1,2,0.05,0.05,0.025,1,50.0
20180826-064412_288_live,0,2,0.0,0.0,0.0,0,0.0
20180826-064716_937_live,1,2,1.0,1.0,0.5,1,50.0
20180826-065245_39_live,2,2,0.6,0.5,0.3,1,100.0
20180826-070022_438_live,1,2,0.05,0.05,0.025,1,50.0
20180826-070323_186_live,0,2,0.0,0.0,0.0,0,0.0
20180826-070517_871_live,1,2,0.1,0.1,0.05,1,50.0
20180826-072151_442_live,1,2,5.0,5.0,2.5,1,50.0
20180826-073320_803_live,1,2,0.25,0.25,0.125,1,50.0
20180826-073858_133_live,2,2,0.35,0.3,0.175,1,100.0
20180826-080505_231_live,0,2,0.0,0.0,0.0,0,0.0
20180826-082717_200_live,2,2,0.2,0.1,0.1,1,100.0
20180826-094859_742_live,1,2,0.3,0.3,0.15,1,50.0
20180826-100158_119_live,0,2,0.0,0.0,0.0,0,0.0
20180826-173836_197_live,1,2,0.5,0.5,0.25,1,50.0
20180826-174120_426_live,2,2,0.3,0.15,0.15,1,100.0
20180826-174459_637_live,0,2,0.0,0.0,0.0,0,0.0
20180826-174933_275_live,0,2,0.0,0.0,0.0,0,0.0
20180826-174957_757_live,1,2,0.2,0.2,0.1,1,50.0
20180826-175233_4_live,0,2,0.0,0.0,0.0,0,0.0
20180826-175345_318_live,0,2,0.0,0.0,0.0,0,0.0
20180826-175426_937_live,1,2,0.5,0.5,0.25,1,50.0
20180826-175705_624_live,0,2,0.0,0.0,0.0,0,0.0
