B2,donated,donation_amount,n_negative,n_neutral,n_positive,has_negative,has_positive,positive_rate,negative_rate,dominant_sentiment,n_messages,positive_rate_group,sentiment_combo
20180527-123001_539_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180527-210026_713_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180528-051652_449_live,0,0.0,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180717-200206_41_live,1,0.5,4,4,2,1,1,20.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180719-120436_413_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180719-122534_38_live,1,0.5,0,9,2,0,1,18.181818181818183,0.0,neutral,11,0-25%,Только позитивный
20180719-165941_192_live,0,0.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180719-175233_833_live,1,0.05,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180719-181845_211_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180719-182453_233_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180719-200311_664_live,0,0.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180719-202443_897_live,1,1.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180719-204358_391_live,0,0.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180719-210146_172_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180719-210149_80_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180719-211253_768_live,1,0.5,0,8,3,0,1,27.27272727272727,0.0,neutral,11,25-50%,Только позитивный
20180719-211301_463_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180719-211846_176_live,0,0.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180719-212219_934_live,1,0.5,0,8,3,0,1,27.27272727272727,0.0,neutral,11,25-50%,Только позитивный
20180719-213345_510_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180723-025150_733_live,1,0.2,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180723-031022_254_live,1,1.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180723-034109_263_live,1,1.0,0,6,5,0,1,45.45454545454545,0.0,neutral,11,25-50%,Только позитивный
20180723-034654_121_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180723-040634_575_live,1,1.25,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180723-041117_988_live,1,0.1,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180723-042226_724_live,1,0.5,1,4,6,1,1,54.54545454545454,9.090909090909092,positive,11,50-75%,Позитивный + Негативный
20180723-042342_809_live,0,0.0,9,0,1,1,1,10.0,90.0,negative,10,0-25%,Позитивный + Негативный
20180723-042344_940_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180723-042421_113_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180723-044617_32_live,1,0.5,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180723-052203_936_live,1,0.5,1,1,8,1,1,80.0,10.0,positive,10,75-100%,Позитивный + Негативный
20180723-055038_776_live,1,0.5,1,6,4,1,1,36.36363636363637,9.090909090909092,neutral,11,25-50%,Позитивный + Негативный
20180723-060959_447_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180723-061928_535_live,1,100.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180723-062856_180_live,1,0.1,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180723-064603_378_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180723-064816_188_live,0,0.0,4,6,0,1,0,0.0,40.0,neutral,10,,Только негативный
20180723-070336_48_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180723-072435_196_live,1,0.01,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180723-073352_280_live,1,0.05,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180723-073908_711_live,1,0.5,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180723-074147_879_live,0,0.0,2,2,6,1,1,60.0,20.0,positive,10,50-75%,Позитивный + Негативный
20180723-075339_567_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180723-080158_200_live,0,0.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180723-080248_452_live,1,0.01,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180723-082451_335_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180723-085449_363_live,1,700.0,0,6,5,0,1,45.45454545454545,0.0,neutral,11,25-50%,Только позитивный
20180723-091102_738_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180723-091419_371_live,1,0.25,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180723-091508_49_live,0,0.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180723-093434_153_live,0,0.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180723-093509_578_live,1,1.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180723-094026_937_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180723-094242_630_live,1,1.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180723-100140_767_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180723-100855_385_live,0,0.0,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180723-101530_805_live,1,0.5,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180723-103902_895_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180723-105210_403_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180723-112016_503_live,1,0.01,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180723-113128_856_live,1,2.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180723-113700_19_live,1,1.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180723-114415_254_live,1,0.1,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180723-120745_544_live,0,0.0,4,5,1,1,1,10.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180723-120746_371_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180723-121545_265_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180723-122005_335_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180807-012950_732_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180807-032253_379_live,1,0.5,0,4,7,0,1,63.63636363636363,0.0,positive,11,50-75%,Только позитивный
20180807-033103_193_live,1,100.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180807-033356_731_live,1,10.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180807-034050_594_live,1,0.5,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180807-034917_827_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180807-035644_415_live,1,0.2,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180807-045213_750_live,0,0.0,5,6,0,1,0,0.0,45.45454545454545,neutral,11,,Только негативный
20180807-045406_433_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180807-052301_924_live,1,2.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180807-052510_771_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180807-052536_131_live,0,0.0,4,6,0,1,0,0.0,40.0,neutral,10,,Только негативный
20180807-054926_223_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180807-060826_638_live,0,0.0,2,2,6,1,1,60.0,20.0,positive,10,50-75%,Позитивный + Негативный
20180807-070049_381_live,1,0.1,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180807-070744_909_live,1,1.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180807-081912_387_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180807-094907_712_live,0,0.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180807-101812_237_live,1,1.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180807-103432_350_live,0,0.0,9,3,0,1,0,0.0,75.0,negative,12,,Только негативный
20180807-110023_918_live,1,0.01,2,8,3,1,1,23.076923076923077,15.384615384615385,neutral,13,0-25%,Позитивный + Негативный
20180807-114219_318_live,0,0.0,1,9,1,1,1,9.090909090909092,9.090909090909092,neutral,11,0-25%,Позитивный + Негативный
20180807-114503_772_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180807-114750_102_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180807-120710_327_live,0,0.0,0,10,1,0,1,9.090909090909092,0.0,neutral,11,0-25%,Только позитивный
20180807-120949_23_live,1,0.75,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180807-193534_716_live,1,0.5,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180807-200337_482_live,0,0.0,1,7,3,1,1,27.27272727272727,9.090909090909092,neutral,11,25-50%,Позитивный + Негативный
20180807-203024_672_live,1,1.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180807-204441_24_live,1,0.5,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180807-210436_738_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180807-210743_128_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180807-212225_748_live,1,0.25,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180807-213738_534_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180807-224801_326_live,1,2.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180807-230112_344_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180807-232845_932_live,0,0.0,0,0,10,0,1,100.0,0.0,positive,10,75-100%,Только позитивный
20180808-001810_178_live,0,0.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180808-004203_194_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180808-005248_38_live,0,0.0,2,11,0,1,0,0.0,15.384615384615385,neutral,13,,Только негативный
20180808-011341_389_live,1,0.5,1,1,13,1,1,86.66666666666667,6.666666666666667,positive,15,75-100%,Позитивный + Негативный
20180808-011921_673_live,1,1.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180808-013755_350_live,1,2.0,1,8,2,1,1,18.181818181818183,9.090909090909092,neutral,11,0-25%,Позитивный + Негативный
20180808-015530_429_live,1,0.6,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180808-015735_783_live,1,2.0,3,7,2,1,1,16.666666666666664,25.0,neutral,12,0-25%,Позитивный + Негативный
20180808-020257_457_live,1,1.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-021732_428_live,0,0.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-022005_838_live,0,0.0,4,3,3,1,1,30.0,40.0,negative,10,25-50%,Позитивный + Негативный
20180808-022730_384_live,0,0.0,2,2,6,1,1,60.0,20.0,positive,10,50-75%,Позитивный + Негативный
20180808-024552_152_live,0,0.0,5,5,0,1,0,0.0,50.0,neutral,10,,Только негативный
20180808-030338_328_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180808-030454_242_live,1,0.25,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180808-032041_562_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180808-032124_114_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180808-032354_369_live,0,0.0,1,8,1,1,1,10.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180808-032545_201_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180808-033451_555_live,1,0.5,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180808-034352_717_live,1,0.1,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-034448_815_live,0,0.0,1,7,2,1,1,20.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180808-035431_488_live,1,0.1,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180808-035715_390_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180808-040435_931_live,0,0.0,1,10,0,1,0,0.0,9.090909090909092,neutral,11,,Только негативный
20180808-042339_620_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180808-043445_804_live,1,0.5,1,7,3,1,1,27.27272727272727,9.090909090909092,neutral,11,25-50%,Позитивный + Негативный
20180808-045404_162_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180808-050533_601_live,0,0.0,3,6,1,1,1,10.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180808-052501_689_live,1,10.0,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-061420_905_live,0,0.0,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-062753_12_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180808-063034_444_live,0,0.0,2,7,1,1,1,10.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180808-064212_144_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180808-064649_236_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180808-065307_529_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180808-070517_921_live,1,2.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180808-073516_16_live,0,0.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-073746_228_live,1,0.5,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180808-074917_388_live,0,0.0,1,8,2,1,1,18.181818181818183,9.090909090909092,neutral,11,0-25%,Позитивный + Негативный
20180808-075748_956_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180808-075816_12_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180808-081317_142_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180823-020508_596_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180823-020542_443_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180823-021414_711_live,1,0.2,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180823-021454_370_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180823-022522_183_live,1,0.3,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180823-023349_326_live,1,0.2,4,5,1,1,1,10.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180824-015242_301_live,0,0.0,3,5,2,1,1,20.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180824-015542_821_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180824-020237_732_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180824-020419_695_live,1,0.85,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180824-022557_24_live,0,0.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180824-022709_450_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180824-023730_85_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180824-024455_408_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180824-025834_522_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180824-031232_169_live,1,0.02,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180824-120314_637_live,1,0.15,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180824-120504_474_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180824-121026_498_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180824-121207_770_live,0,0.0,4,5,1,1,1,10.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180824-121457_149_live,0,0.0,2,8,0,1,0,0.0,20.0,neutral,10,,Только негативный
20180824-121720_619_live,1,0.15,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180824-121933_745_live,0,0.0,2,6,2,1,1,20.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180824-121958_772_live,0,0.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180824-122020_491_live,1,0.15,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180824-122128_891_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180824-122144_159_live,1,1.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180824-122300_862_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180824-122416_255_live,1,0.25,0,6,5,0,1,45.45454545454545,0.0,neutral,11,25-50%,Только позитивный
20180824-122513_936_live,1,0.2,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180824-122531_924_live,1,0.25,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180824-122741_281_live,1,0.5,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180824-122747_679_live,0,0.0,1,4,6,1,1,54.54545454545454,9.090909090909092,positive,11,50-75%,Позитивный + Негативный
20180824-122919_69_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180824-123012_292_live,1,0.8,2,6,2,1,1,20.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180824-123136_997_live,1,0.15,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180824-123946_581_live,1,0.5,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180824-124214_397_live,1,30.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180824-124301_523_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180824-125336_572_live,1,0.29,1,8,1,1,1,10.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180824-130121_505_live,1,0.5,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180824-130122_363_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180824-130244_446_live,1,0.2,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180824-130402_610_live,1,0.1,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180824-130913_64_live,1,0.5,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180824-131145_239_live,1,0.15,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180824-131621_775_live,0,0.0,0,10,0,0,0,0.0,0.0,neutral,10,,Только нейтральный
20180825-042845_49_live,1,0.3,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-043229_970_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-043341_782_live,1,0.1,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-043516_619_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180825-044048_639_live,1,0.05,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-044252_786_live,1,0.05,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-044358_663_live,0,0.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
