B2,donated,donation_amount,n_negative,n_neutral,n_positive,has_negative,has_positive,positive_rate,negative_rate,dominant_sentiment,n_messages,positive_rate_group,sentiment_combo
20180825-044613_233_live,1,0.5,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-045559_409_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-050306_247_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-051212_932_live,1,7.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-051455_889_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180825-051852_679_live,0,0.0,4,5,1,1,1,10.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180825-051947_478_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180825-052611_640_live,0,0.0,3,6,1,1,1,10.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180825-053544_897_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-053711_81_live,1,1.0,8,2,0,1,0,0.0,80.0,negative,10,,Только негативный
20180825-054948_621_live,1,0.3,1,7,2,1,1,20.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180825-055034_34_live,0,0.0,0,10,0,0,0,0.0,0.0,neutral,10,,Только нейтральный
20180825-055321_232_live,1,0.1,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-055427_625_live,1,0.3,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180825-060055_854_live,1,0.2,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-060212_445_live,1,0.1,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-060251_387_live,1,0.15,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-060648_863_live,1,2.0,3,1,6,1,1,60.0,30.0,positive,10,50-75%,Позитивный + Негативный
20180825-061105_792_live,1,0.15,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-062128_451_live,1,0.5,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-062219_874_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-063009_943_live,0,0.0,3,7,0,1,0,0.0,30.0,neutral,10,,Только негативный
20180825-063117_677_live,1,0.2,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-063753_619_live,1,0.1,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-064001_264_live,1,0.2,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-064038_102_live,0,0.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-064811_939_live,1,0.05,2,2,6,1,1,60.0,20.0,positive,10,50-75%,Позитивный + Негативный
20180825-064838_945_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180825-065106_23_live,1,0.1,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-065411_526_live,1,0.1,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-070515_947_live,1,0.25,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-070857_925_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180825-070900_49_live,1,0.25,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-071316_761_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-071459_643_live,1,0.15,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180825-071727_819_live,1,0.15,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-071757_571_live,1,0.15,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-073030_73_live,1,0.05,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180825-073559_995_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-073629_433_live,0,0.0,3,6,1,1,1,10.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180825-073809_134_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-073813_141_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180825-074318_984_live,1,0.3,1,1,8,1,1,80.0,10.0,positive,10,75-100%,Позитивный + Негативный
20180825-075451_984_live,1,0.1,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180825-075611_866_live,1,0.05,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-075627_48_live,0,0.0,4,6,0,1,0,0.0,40.0,neutral,10,,Только негативный
20180825-075630_493_live,1,1.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-075647_663_live,0,0.0,1,6,4,1,1,36.36363636363637,9.090909090909092,neutral,11,25-50%,Позитивный + Негативный
20180825-075658_709_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-075835_273_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-075844_569_live,1,0.25,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-075913_208_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-080131_220_live,1,0.15,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-080436_824_live,1,10.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180825-080452_233_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180825-080802_964_live,1,1.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-081402_621_live,1,0.3,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-081502_364_live,0,0.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-081646_781_live,1,9.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180825-081859_875_live,1,0.1,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180825-082635_438_live,1,0.15,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-083430_379_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-083745_516_live,1,0.15,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-084254_215_live,1,1.0,3,2,5,1,1,50.0,30.0,positive,10,25-50%,Позитивный + Негативный
20180825-084657_775_live,0,0.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180825-085214_779_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-085709_930_live,1,0.1,3,2,5,1,1,50.0,30.0,positive,10,25-50%,Позитивный + Негативный
20180825-085908_923_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-090032_956_live,0,0.0,4,5,1,1,1,10.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180825-090251_7_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-090446_585_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-091558_618_live,0,0.0,3,5,2,1,1,20.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180825-092012_333_live,0,0.0,0,10,0,0,0,0.0,0.0,neutral,10,,Только нейтральный
20180825-093236_414_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180825-094831_466_live,0,0.0,1,8,1,1,1,10.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180825-100043_534_live,1,0.1,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-102556_172_live,1,1.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-111850_152_live,0,0.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180825-112434_860_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-112615_516_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180825-125810_869_live,1,0.05,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-143255_249_live,1,0.05,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-210735_192_live,1,0.1,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180826-011431_343_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-013036_595_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180826-013529_897_live,1,5.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180826-013831_953_live,1,1.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-020520_686_live,0,0.0,3,5,2,1,1,20.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180826-021724_326_live,1,1.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180826-023807_40_live,1,0.25,2,2,8,1,1,66.66666666666666,16.666666666666664,positive,12,50-75%,Позитивный + Негативный
20180826-033211_245_live,1,0.05,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180826-040651_411_live,1,0.01,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-043247_456_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180826-044626_167_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180826-045748_926_live,0,0.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-052222_969_live,1,0.3,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180826-053811_708_live,1,0.2,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180826-053845_531_live,1,0.3,2,4,5,1,1,45.45454545454545,18.181818181818183,positive,11,25-50%,Позитивный + Негативный
20180826-053925_84_live,0,0.0,8,2,0,1,0,0.0,80.0,negative,10,,Только негативный
20180826-054028_444_live,1,1.0,3,3,4,1,1,40.0,30.0,positive,10,25-50%,Позитивный + Негативный
20180826-054232_684_live,1,0.2,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-054344_65_live,0,0.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-055352_947_live,0,0.0,4,5,2,1,1,18.181818181818183,36.36363636363637,neutral,11,0-25%,Позитивный + Негативный
20180826-060146_791_live,0,0.0,5,5,0,1,0,0.0,50.0,neutral,10,,Только негативный
20180826-060201_521_live,0,0.0,0,6,5,0,1,45.45454545454545,0.0,neutral,11,25-50%,Только позитивный
20180826-061500_476_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180826-061846_932_live,1,0.3,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-061949_863_live,0,0.0,1,1,8,1,1,80.0,10.0,positive,10,75-100%,Позитивный + Негативный
20180826-062039_2_live,0,0.0,5,3,2,1,1,20.0,50.0,negative,10,0-25%,Позитивный + Негативный
20180826-062356_655_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180826-062736_188_live,0,0.0,0,8,3,0,1,27.27272727272727,0.0,neutral,11,25-50%,Только позитивный
20180826-062755_702_live,1,0.05,1,7,2,1,1,20.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180826-063853_537_live,1,0.05,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-064104_677_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180826-064412_288_live,0,0.0,3,2,5,1,1,50.0,30.0,positive,10,25-50%,Позитивный + Негативный
20180826-064716_937_live,0,0.0,0,3,8,0,1,72.72727272727273,0.0,positive,11,50-75%,Только позитивный
20180826-065245_39_live,1,0.1,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-070022_438_live,1,0.05,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180826-070323_186_live,0,0.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180826-070517_871_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180826-072151_442_live,1,5.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180826-073320_803_live,0,0.0,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180826-073858_133_live,1,0.3,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-080505_231_live,0,0.0,0,0,10,0,1,100.0,0.0,positive,10,75-100%,Только позитивный
20180826-082717_200_live,1,0.1,2,6,2,1,1,20.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180826-094859_742_live,1,0.3,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180826-100158_119_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180826-173836_197_live,0,0.0,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180826-174120_426_live,1,0.15,0,2,9,0,1,81.81818181818183,0.0,positive,11,75-100%,Только позитивный
20180826-174459_637_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-174933_275_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180826-174957_757_live,1,0.2,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-175233_4_live,0,0.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-175345_318_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180826-175426_937_live,1,0.5,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180826-175705_624_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180826-175706_443_live,0,0.0,3,6,1,1,1,10.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180826-175853_545_live,1,0.1,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180826-180009_407_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180826-180300_663_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-180314_928_live,0,0.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-180554_582_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-180631_700_live,1,0.15,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180826-180646_7_live,1,0.03,0,8,3,0,1,27.27272727272727,0.0,neutral,11,25-50%,Только позитивный
20180826-181020_331_live,0,0.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-181249_805_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180826-181717_640_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-181742_58_live,0,0.0,0,9,2,0,1,18.181818181818183,0.0,neutral,11,0-25%,Только позитивный
20180826-181903_395_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180826-181951_904_live,1,0.05,1,8,1,1,1,10.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180826-182047_49_live,0,0.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180826-182048_519_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180826-182054_411_live,0,0.0,4,2,4,1,1,40.0,40.0,neutral,10,25-50%,Позитивный + Негативный
20180826-182522_887_live,1,0.2,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-182527_314_live,0,0.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180826-184037_209_live,1,0.1,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180826-184708_183_live,0,0.0,3,7,0,1,0,0.0,30.0,neutral,10,,Только негативный
20180826-190151_488_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180826-192022_0_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180826-193546_146_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180826-194841_403_live,1,0.3,3,5,3,1,1,27.27272727272727,27.27272727272727,neutral,11,25-50%,Позитивный + Негативный
20180826-203821_83_live,1,0.1,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180826-204907_535_live,1,0.3,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180826-210609_644_live,1,0.05,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180826-212714_597_live,1,0.15,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180826-220528_999_live,1,0.3,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180826-220838_141_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180827-000803_417_live,0,0.0,4,3,3,1,1,30.0,40.0,negative,10,25-50%,Позитивный + Негативный
20180827-002226_470_live,1,0.15,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180827-004037_444_live,1,1.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180827-004200_630_live,1,0.3,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180827-005217_168_live,1,0.3,0,10,0,0,0,0.0,0.0,neutral,10,,Только нейтральный
20180827-012328_101_live,1,0.5,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180827-021816_456_live,1,50.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180827-023059_481_live,1,0.5,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180827-024612_480_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180827-025236_792_live,1,0.2,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180827-030633_256_live,1,10.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180827-032231_430_live,1,0.01,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180827-032731_796_live,1,100.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180827-032811_159_live,1,25.0,0,4,8,0,1,66.66666666666666,0.0,positive,12,50-75%,Только позитивный
20180827-033057_106_live,1,0.1,4,3,4,1,1,36.36363636363637,36.36363636363637,neutral,11,25-50%,Позитивный + Негативный
20180827-033412_606_live,1,0.15,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180827-033451_673_live,1,2.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180827-033602_304_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180827-034056_964_live,0,0.0,4,4,2,1,1,20.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180827-034916_910_live,1,0.3,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180827-035202_980_live,0,0.0,1,8,1,1,1,10.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180827-040206_224_live,1,1.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180827-040240_717_live,0,0.0,2,7,1,1,1,10.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180827-040243_204_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180827-041027_973_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180827-041028_432_live,1,0.1,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180827-041628_386_live,0,0.0,1,8,1,1,1,10.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180827-041754_680_live,1,0.2,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180827-042149_955_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180827-042538_721_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180827-043632_426_live,1,0.1,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180827-043728_426_live,1,1.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180827-044030_730_live,1,0.3,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180827-044101_715_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180827-044233_823_live,1,0.1,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180827-044304_158_live,0,0.0,2,7,1,1,1,10.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180827-044350_73_live,1,1.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180827-044510_713_live,1,20.0,0,0,10,0,1,100.0,0.0,positive,10,75-100%,Только позитивный
20180827-044850_308_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180827-044929_762_live,1,50.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
